TIME,TIME_NUM_FORMAT,DO
7/14/2016 0:00,42565,7.17
7/14/2016 0:10,42565.00694,6.87
7/14/2016 0:20,42565.01389,7.25
7/14/2016 0:30,42565.02083,6.99
7/14/2016 0:40,42565.02778,6.72
7/14/2016 0:50,42565.03472,6.82
7/14/2016 1:00,42565.04167,6.68
7/14/2016 1:10,42565.04861,6.25
7/14/2016 1:20,42565.05556,6.46
7/14/2016 1:30,42565.0625,6.18
7/14/2016 1:40,42565.06944,6.41
7/14/2016 1:50,42565.07639,6.05
7/14/2016 2:00,42565.08333,6.23
7/14/2016 2:10,42565.09028,5.73
7/14/2016 2:20,42565.09722,5.71
7/14/2016 2:30,42565.10417,5.52
7/14/2016 2:40,42565.11111,6.26
7/14/2016 2:50,42565.11806,5.31
7/14/2016 3:00,42565.125,5.04
7/14/2016 3:10,42565.13194,4.63
7/14/2016 3:20,42565.13889,4.29
7/14/2016 3:30,42565.14583,4.46
7/14/2016 3:40,42565.15278,4.55
7/14/2016 3:50,42565.15972,4.2
7/14/2016 4:00,42565.16667,3.93
7/14/2016 4:10,42565.17361,3.89
7/14/2016 4:20,42565.18056,3.78
7/14/2016 4:30,42565.1875,3.54
7/14/2016 4:40,42565.19444,4.82
7/14/2016 4:50,42565.20139,4.54
7/14/2016 5:00,42565.20833,3.34
7/14/2016 5:10,42565.21528,3.11
7/14/2016 5:20,42565.22222,2.89
7/14/2016 5:30,42565.22917,3.73
7/14/2016 5:40,42565.23611,3.85
7/14/2016 5:50,42565.24306,3.43
7/14/2016 6:00,42565.25,3.83
7/14/2016 6:10,42565.25694,4
7/14/2016 6:20,42565.26389,4.06
7/14/2016 6:30,42565.27083,4.1
7/14/2016 6:40,42565.27778,4.34
7/14/2016 6:50,42565.28472,4.5
7/14/2016 7:00,42565.29167,4.54
7/14/2016 7:10,42565.29861,3.31
7/14/2016 7:20,42565.30556,3.11
7/14/2016 7:30,42565.3125,2.94
7/14/2016 7:40,42565.31944,3.23
7/14/2016 7:50,42565.32639,3.04
7/14/2016 8:00,42565.33333,3.33
7/14/2016 8:10,42565.34028,3.27
7/14/2016 8:20,42565.34722,2.99
7/14/2016 8:30,42565.35417,2.91
7/14/2016 8:40,42565.36111,2.61
7/14/2016 8:50,42565.36806,2.41
7/14/2016 9:00,42565.375,2.28
7/14/2016 9:10,42565.38194,2.35
7/14/2016 9:20,42565.38889,2.47
7/14/2016 9:30,42565.39583,2.57
7/14/2016 9:40,42565.40278,2.35
7/14/2016 9:50,42565.40972,2.56
7/14/2016 10:00,42565.41667,2.52
7/14/2016 10:10,42565.42361,2.75
7/14/2016 10:20,42565.43056,2.36
7/14/2016 10:30,42565.4375,2.57
7/14/2016 10:40,42565.44444,2.38
7/14/2016 10:50,42565.45139,2.35
7/14/2016 11:00,42565.45833,2.51
7/14/2016 11:10,42565.46528,2.56
7/14/2016 11:20,42565.47222,2.77
7/14/2016 11:30,42565.47917,2.73
7/14/2016 11:40,42565.48611,2.37
7/14/2016 11:50,42565.49306,2.97
7/14/2016 12:00,42565.5,2.53
7/14/2016 12:10,42565.50694,2.88
7/14/2016 12:20,42565.51389,3.1
7/14/2016 12:30,42565.52083,3.2
7/14/2016 12:40,42565.52778,3.27
7/14/2016 12:50,42565.53472,3.11
7/14/2016 13:00,42565.54167,2.75
7/14/2016 13:10,42565.54861,2.76
7/14/2016 13:20,42565.55556,1.79
7/14/2016 13:30,42565.5625,2.19
7/14/2016 13:40,42565.56944,1.96
7/14/2016 13:50,42565.57639,1.9
7/14/2016 14:00,42565.58333,2.5
7/14/2016 14:10,42565.59028,2.93
7/14/2016 14:20,42565.59722,2.97
7/14/2016 14:30,42565.60417,3.01
7/14/2016 14:40,42565.61111,2.94
7/14/2016 14:50,42565.61806,2.74
7/14/2016 15:00,42565.625,3.04
7/14/2016 15:10,42565.63194,2.79
7/14/2016 15:20,42565.63889,3.1
7/14/2016 15:30,42565.64583,2.62
7/14/2016 15:40,42565.65278,2.63
7/14/2016 15:50,42565.65972,2.68
7/14/2016 16:00,42565.66667,3.12
7/14/2016 16:10,42565.67361,3.33
7/14/2016 16:20,42565.68056,2.96
7/14/2016 16:30,42565.6875,3.6
7/14/2016 16:40,42565.69444,4.31
7/14/2016 16:50,42565.70139,4.97
7/14/2016 17:00,42565.70833,5.03
7/14/2016 17:10,42565.71528,4.18
7/14/2016 17:20,42565.72222,5.22
7/14/2016 17:30,42565.72917,5.34
7/14/2016 17:40,42565.73611,4.64
7/14/2016 17:50,42565.74306,5.06
7/14/2016 18:00,42565.75,4.29
7/14/2016 18:10,42565.75694,4.5
7/14/2016 18:20,42565.76389,5.52
7/14/2016 18:30,42565.77083,5.16
7/14/2016 18:40,42565.77778,5.96
7/14/2016 18:50,42565.78472,6.09
7/14/2016 19:00,42565.79167,5.27
7/14/2016 19:10,42565.79861,5.76
7/14/2016 19:20,42565.80556,5.68
7/14/2016 19:30,42565.8125,5.67
7/14/2016 19:40,42565.81944,5.58
7/14/2016 19:50,42565.82639,5.36
7/14/2016 20:00,42565.83333,5.65
7/14/2016 20:10,42565.84028,6.18
7/14/2016 20:20,42565.84722,5.97
7/14/2016 20:30,42565.85417,5.73
7/14/2016 20:40,42565.86111,6.11
7/14/2016 20:50,42565.86806,5.87
7/14/2016 21:00,42565.875,5.69
7/14/2016 21:10,42565.88194,6.09
7/14/2016 21:20,42565.88889,5.86
7/14/2016 21:30,42565.89583,6.04
7/14/2016 21:40,42565.90278,5.39
7/14/2016 21:50,42565.90972,5.64
7/14/2016 22:00,42565.91667,5.61
7/14/2016 22:10,42565.92361,5.47
7/14/2016 22:20,42565.93056,5.7
7/14/2016 22:30,42565.9375,5.63
7/14/2016 22:40,42565.94444,5.26
7/14/2016 22:50,42565.95139,5.52
7/14/2016 23:00,42565.95833,5.38
7/14/2016 23:10,42565.96528,5.24
7/14/2016 23:20,42565.97222,4.67
