TIME,TIME_NUM_FORMAT,DO
7/14/2016 0:00:00,42565.00000,8.76
7/14/2016 0:10:00,42565.00694,8.4
7/14/2016 0:20:00,42565.01389,7.8
7/14/2016 0:30:00,42565.02083,7.94
7/14/2016 0:40:00,42565.02778,7.91
7/14/2016 0:50:00,42565.03472,8.47
7/14/2016 1:00:00,42565.04167,7.87
7/14/2016 1:10:00,42565.04861,7.21
7/14/2016 1:20:00,42565.05556,6.59
7/14/2016 1:30:00,42565.06250,7.16
7/14/2016 1:40:00,42565.06944,7.24
7/14/2016 1:50:00,42565.07639,6.91
7/14/2016 2:00:00,42565.08333,6.83
7/14/2016 2:10:00,42565.09028,6.37
7/14/2016 2:20:00,42565.09722,6.63
7/14/2016 2:30:00,42565.10417,6.35
7/14/2016 2:40:00,42565.11111,6.23
7/14/2016 2:50:00,42565.11806,5.69
7/14/2016 3:00:00,42565.12500,5.66
7/14/2016 3:10:00,42565.13194,6.3
7/14/2016 3:20:00,42565.13889,5.59
7/14/2016 3:30:00,42565.14583,5.67
7/14/2016 3:40:00,42565.15278,5.81
7/14/2016 3:50:00,42565.15972,4.61
7/14/2016 4:00:00,42565.16667,4.18
7/14/2016 4:10:00,42565.17361,4.38
7/14/2016 4:20:00,42565.18056,6.65
7/14/2016 4:30:00,42565.18750,5.94
7/14/2016 4:40:00,42565.19444,5.33
7/14/2016 4:50:00,42565.20139,4.55
7/14/2016 5:00:00,42565.20833,4.4
7/14/2016 5:10:00,42565.21528,5.53
7/14/2016 5:20:00,42565.22222,5.1
7/14/2016 5:30:00,42565.22917,5.19
7/14/2016 5:40:00,42565.23611,5.21
7/14/2016 5:50:00,42565.24306,4.32
7/14/2016 6:00:00,42565.25000,4.38
7/14/2016 6:10:00,42565.25694,3.51
7/14/2016 6:20:00,42565.26389,4.05
7/14/2016 6:30:00,42565.27083,4.2
7/14/2016 6:40:00,42565.27778,4.18
7/14/2016 6:50:00,42565.28472,3.96
7/14/2016 7:00:00,42565.29167,3.3
7/14/2016 7:10:00,42565.29861,4.23
7/14/2016 7:20:00,42565.30556,4.51
7/14/2016 7:30:00,42565.31250,4.38
7/14/2016 7:40:00,42565.31944,4.58
7/14/2016 7:50:00,42565.32639,4.49
7/14/2016 8:00:00,42565.33333,4.07
7/14/2016 8:10:00,42565.34028,3.58
7/14/2016 8:20:00,42565.34722,3.89
7/14/2016 8:30:00,42565.35417,4.11
7/14/2016 8:40:00,42565.36111,3.85
7/14/2016 8:50:00,42565.36806,3.68
7/14/2016 9:00:00,42565.37500,3.34
7/14/2016 9:10:00,42565.38194,3.82
7/14/2016 9:20:00,42565.38889,3.91
7/14/2016 9:30:00,42565.39583,4
7/14/2016 9:40:00,42565.40278,4.53
7/14/2016 9:50:00,42565.40972,4.49
7/14/2016 10:00:00,42565.41667,4.28
7/14/2016 10:10:00,42565.42361,3.44
7/14/2016 10:20:00,42565.43056,3.62
7/14/2016 10:30:00,42565.43750,2.82
7/14/2016 10:40:00,42565.44444,3.28
7/14/2016 10:50:00,42565.45139,3.68
7/14/2016 11:00:00,42565.45833,3.68
7/14/2016 11:10:00,42565.46528,3.55
7/14/2016 11:20:00,42565.47222,2.77
7/14/2016 11:30:00,42565.47917,3.64
7/14/2016 11:40:00,42565.48611,3.05
7/14/2016 11:50:00,42565.49306,2.77
7/14/2016 12:00:00,42565.50000,1.5
7/14/2016 12:10:00,42565.50694,1.58
7/14/2016 12:20:00,42565.51389,1.82
7/14/2016 12:30:00,42565.52083,2.86
