TIME,TIME_NUM_FORMAT,DO
7/14/2016 0:00:00,42565.00000,6.22
7/14/2016 0:10:00,42565.00694,6.75
7/14/2016 0:20:00,42565.01389,6.73
7/14/2016 0:30:00,42565.02083,6.82
7/14/2016 0:40:00,42565.02778,7.86
7/14/2016 0:50:00,42565.03472,7.88
7/14/2016 1:00:00,42565.04167,7.97
7/14/2016 1:10:00,42565.04861,7.79
7/14/2016 1:20:00,42565.05556,7.66
7/14/2016 1:30:00,42565.06250,7.45
7/14/2016 1:40:00,42565.06944,7.52
7/14/2016 1:50:00,42565.07639,7.73
7/14/2016 2:00:00,42565.08333,7.66
7/14/2016 2:10:00,42565.09028,7.66
7/14/2016 2:20:00,42565.09722,7.74
7/14/2016 2:30:00,42565.10417,7.71
7/14/2016 2:40:00,42565.11111,7.77
7/14/2016 2:50:00,42565.11806,7.81
7/14/2016 3:00:00,42565.12500,7.7
7/14/2016 3:10:00,42565.13194,7.7
7/14/2016 3:20:00,42565.13889,7.8
7/14/2016 3:30:00,42565.14583,7.71
7/14/2016 3:40:00,42565.15278,7.7
7/14/2016 3:50:00,42565.15972,7.52
7/14/2016 4:00:00,42565.16667,7.45
7/14/2016 4:10:00,42565.17361,7.47
7/14/2016 4:20:00,42565.18056,7.38
7/14/2016 4:30:00,42565.18750,7.45
7/14/2016 4:40:00,42565.19444,7.37
7/14/2016 4:50:00,42565.20139,7.52
7/14/2016 5:00:00,42565.20833,7.46
7/14/2016 5:10:00,42565.21528,7.36
7/14/2016 5:20:00,42565.22222,7.49
7/14/2016 5:30:00,42565.22917,7.29
7/14/2016 5:40:00,42565.23611,6.7
7/14/2016 5:50:00,42565.24306,6.5
7/14/2016 6:00:00,42565.25000,6.45
7/14/2016 6:10:00,42565.25694,6.51
7/14/2016 6:20:00,42565.26389,6.46
7/14/2016 6:30:00,42565.27083,6.39
7/14/2016 6:40:00,42565.27778,6.22
7/14/2016 6:50:00,42565.28472,6.13
7/14/2016 7:00:00,42565.29167,6.13
7/14/2016 7:10:00,42565.29861,6.02
7/14/2016 7:20:00,42565.30556,5.9
7/14/2016 7:30:00,42565.31250,5.51
7/14/2016 7:40:00,42565.31944,5.65
7/14/2016 7:50:00,42565.32639,5.85
7/14/2016 8:00:00,42565.33333,5.73
7/14/2016 8:10:00,42565.34028,5.89
7/14/2016 8:20:00,42565.34722,5.87
7/14/2016 8:30:00,42565.35417,5.9
7/14/2016 8:40:00,42565.36111,5.96
7/14/2016 8:50:00,42565.36806,5.87
7/14/2016 9:00:00,42565.37500,5.85
7/14/2016 9:10:00,42565.38194,5.9
7/14/2016 9:20:00,42565.38889,5.81
7/14/2016 9:30:00,42565.39583,5.87
7/14/2016 9:40:00,42565.40278,5.68
7/14/2016 9:50:00,42565.40972,5.76
7/14/2016 10:00:00,42565.41667,5.76
7/14/2016 10:10:00,42565.42361,5.7
7/14/2016 10:20:00,42565.43056,5.76
7/14/2016 10:30:00,42565.43750,5.72
7/14/2016 10:40:00,42565.44444,5.69
7/14/2016 10:50:00,42565.45139,5.58
7/14/2016 11:00:00,42565.45833,5.69
