_LIMMN_upload_date,LIMMN_site_initals,LIMMN_site,Min_DO,Salinity,secchi_depth,site_depth,fecal_coliform,chl_a_ug_l
18-Jul,B,BP,1.44,25.76,NA,NA,4,19.79
25-Jul,B,BP,1.66,25.55,0.8,1.9,8,16.04
1-Aug,B,BP,3.56,25,0.6,1.4,16,13.58
8-Aug,B,BP,2.89,24.99,0.8,1.5,1644,11.67
15-Aug,B,BP,0.99,27.61,0.9,1.5,0,16.54
22-Aug,B,BP,1.4,26.78,1.5,1.9,94,9.92
29-Aug,B,BP,3.56,25.49,1,1.5,NA,NA
18-Jul,F,FI,3.95,23.36,2.3,2.3,2,4.64
25-Jul,F,FI,3.74,22.51,2.35,2.9,4,4.19
1-Aug,F,FI,4.42,22.82,2.5,2.5,18,1.68
8-Aug,F,FI,4.37,24.08,1.6,2.9,2,4.42
15-Aug,F,FI,3.97,24.75,2.3,2.3,2,17.03
22-Aug,F,FI,3.91,24.18,1.9,3,14,7.94
29-Aug,F,FI,3.98,23.96,1.3,2.3,NA,NA
18-Jul,M,MBC,0,26.98,0.45,1.45,48,32.57
25-Jul,M,MBC,0,27.78,0.45,1.65,18,23.98
1-Aug,M,MBC,1.3,28.16,0.5,1.65,22,22.54
8-Aug,M,MBC,0,26.01,0.7,1.65,214,16.46
15-Aug,M,MBC,0,28.12,0.6,1.55,98,21.31
22-Aug,M,MBC,0.23,28.99,0.8,0.8,140,8.59
29-Aug,M,MBC,2.05,26.65,0.8,0.8,NA,NA
18-Jul,N,NCB,0,27.45,NA,NA,42,18.83
25-Jul,N,NCB,0.7,27.73,0.7,1.1,0,23.40
1-Aug,N,NCB,0,28.22,0.5,1.3,2,39.75
8-Aug,N,NCB,0.06,26.75,0.6,1.1,2,18.01
15-Aug,N,NCB,0,28.61,NA,NA,2,22.34
22-Aug,N,NCB,2.67,28.98,0.9,1.2,6,20.28
29-Aug,N,NCB,1.27,26.87,0.85,1.1,NA,NA
18-Jul,P,PENN,2.26,26.11,0.4,1.85,0,27.35
25-Jul,P,PENN,0.61,26.73,0.5,2.05,6,20.38
1-Aug,P,PENN,1.4,26.38,0.6,2,18,15.00
8-Aug,P,PENN,1.44,25.21,0.7,2.05,4,15.35
15-Aug,P,PENN,NA,28.88,0.5,1.85,0,19.10
22-Aug,P,PENN,3.48,27.47,0.9,1.9,28,7.18
29-Aug,P,PENN,2.09,25.77,0.9,1.9,NA,NA
18-Jul,Q,QTK,0.02,26.81,0.4,1.25,18,30.30
25-Jul,Q,QTK,0,27.42,0.45,1.45,2,23.20
1-Aug,Q,QTK,0.2,27.55,0.55,1.45,28,13.81
8-Aug,Q,QTK,0.92,25.59,0.6,1.45,14,15.65
15-Aug,Q,QTK,0,27.89,0.4,1.2,4,21.96
22-Aug,Q,QTK,1.43,28.77,0.75,1.5,116,7.15
29-Aug,Q,QTK,1.54,26.16,0.75,1.5,NA,NA
18-Jul,S,STC,7.08,30,NA,NA,18,36.09
25-Jul,S,STC,0,26.5,0.5,1.9,6,20.29
1-Aug,S,STC,0.12,26.81,0.7,1,8,13.22
8-Aug,S,STC,1.09,25.79,0.7,1.7,0,12.08
15-Aug,S,STC,0,28.14,0.7,1.1,6,32.39
22-Aug,S,STC,1.09,27.83,1.2,1.6,10,10.93
29-Aug,S,STC,1.43,26.14,0.75,1.1,NA,NA
18-Jul,T,TB,1.4,25,0.65,2.2,0,13.48
25-Jul,T,TB,2.3,24.96,0.7,2.4,0,6.25
1-Aug,T,TB,1.96,24.26,1.2,2.4,2,4.86
8-Aug,T,TB,3.59,24.41,0.8,2.4,0,6.33
15-Aug,T,TB,0.36,26.66,0.5,2.2,0,14.14
22-Aug,T,TB,0.13,25.94,1.2,2.1,0,5.41
29-Aug,T,TB,2.76,24,1.2,2.1,NA,NA
18-Jul,X,SAG,3.74,25.28,1.9,2,0,7.87
25-Jul,X,SAG,3.07,26.53,1.4,1.4,2,12.99
1-Aug,X,SAG,3.97,27.1,1.5,2.1,14,11.83
8-Aug,X,SAG,5.61,25.71,0.9,2.1,0,37.75
15-Aug,X,SAG,1.62,27.1,1.8,1.9,0,14.66
22-Aug,X,SAG,2.28,27.76,1.6,2,6,10.65
29-Aug,X,SAG,0.73,25.81,1.5,1.5,NA,NA
