Site,hb_sensor,treatment,block,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,hr_24
FI,0,hypoxic,1,44.2,43.5,43.8,43.6,43.6,42.6,43,41.4,41.2,40.1,38.8,38.1,37.8,37.6,37.4,36.9,39.9,36.2,35.9,35.4,34.8,34.2,33.7,33.3
MB,0,hypoxic,1,49.32,46.1,46.2,46.4,46.8,46.7,45.3,45,45,45,45.2,44.4,43.9,43.2,43,42.7,42.4,41.9,41.8,42,41.9,41.7,41.2,40.8
Nicoll Bay,0,hypoxic,1,45.6,43.9,42.5,41.4,42.12,40.7,42.6,40.56,41.2,41.5,41.5,41.04,40.2,41.1,41.7,40.9,41,40.56,39.3,40,41.9,40,40.3,40.08
Quantuck,0,hypoxic,1,47,47.28,46.6,47.1,46.6,45.5,46.9,44.8,46.2,45.84,45.5,45.4,44.7,44.2,44.5,44.9,46.6,44.64,44.5,45,44.2,42.6,NA,NA
Sag Harbor,0,hypoxic,1,43.9,43.3,43.8,43.5,45,43.5,44.1,43.4,43.2,42,41.6,40.3,40.2,40.2,41.8,39.1,38.1,37.6,39.4,39.5,39.9,37.7,37.6,36.6
FI,2,hypoxic,2,53.4,51.6,48.9,48.6,45,43.8,42.9,44,42.7,43.8,43,46.3,46.1,44.1,44.3,45,45.8,44.9,46,46.2,45.9,46.4,45,44.5
MB,2,hypoxic,2,39.6,40.8,40.8,41.4,37.5,43.2,42.84,40.8,40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicoll Bay,2,hypoxic,2,38.3,36.8,36.4,36.8,35,33.6,31.2,31.5,32.7,33.3,31.6,33.5,37,34.2,32.3,31.8,33,33.9,32,30.9,29.7,29,26.28,25.8
Quantuck,2,hypoxic,2,42.5,41,41.8,43.3,45.5,45,45.7,44.4,44.6,44.4,44.4,44.4,44,44.6,44.3,44.4,44.4,44.6,44.7,45,45.5,45.5,45.6,45
Sag Harbor,2,hypoxic,2,37.7,36.5,37.1,38.1,37.8,36.9,37.4,37,37,36.9,37.2,37.5,37.8,37.8,38.8,38.5,37.9,38.3,38.16,39.7,38.7,38.7,37.5,38.3
MB,4,hypoxic,3,37.5,36.1,37,38.4,37.7,38.4,37.8,37.5,38.4,37.4,37.5,37.9,37.4,37.2,37.44,37.7,37,36.5,36.5,36.7,37.5,36.9,36.8,37.3
Nicoll Bay,4,hypoxic,3,47.6,45.4,45.5,45.8,45.8,46.9,46.2,45.5,45.8,45.2,45.3,45.4,45,45.3,45.3,45.3,45.5,45.1,45.6,46,47.6,46.4,45.5,45.6
Quantuck,4,hypoxic,3,40.1,38.85,39.2,40.3,40.7,41.7,40.2,40.7,40.5,39.5,39.4,40,40.1,40.6,40.6,40.5,39.9,39.6,39.6,40.1,39.9,39.6,39.4,40
Sag Harbor,4,hypoxic,3,43.6,42.7,42,42.96,44.1,44.9,43.7,42.9,43.4,42.2,42.6,43.1,43.2,43.6,43.9,43.5,42.8,42.1,42,42.3,43,42.8,42.1,42.2
FI,6,hypoxic,4,51.6,47.1,46,48.7,48.4,48.5,47.9,47.1,48,46.5,46.2,44.8,44.1,44.4,44.7,44.76,44,42.96,42.84,42.6,45.4,42.4,42.3,41.8
MB,6,hypoxic,4,32.2,NA,30.45,34.1,35.7,30,NA,NA,27,26.76,26.52,28.2,35.7,36.8,38.2,40.6,40.5,40.4,40.7,40.8,41.1,40.2,38.3,35.4
Nicoll Bay,6,hypoxic,4,16.2,NA,17.1,21.24,36.6,39.15,43.2,44.5,45.2,45.5,45.6,45.3,45.6,44,44.7,44.4,43.6,43.4,43.1,43.2,42.4,41.4,41.52,41
Quantuck,6,hypoxic,4,39.36,38.8,39.96,41.04,41.3,41.1,41.1,40.4,39.9,39.2,38.7,37.7,37.6,37.5,37,36.7,36.48,36.6,36.2,36.5,36.9,36.5,36.45,36.3
Sag Harbor,6,hypoxic,4,42.8,43,43.8,44.8,46,43.9,44.2,44,44.1,43.8,42.4,42.5,41,42.2,40.2,39.9,40.5,41.4,40,39.3,39.9,39.5,41.1,38.9
FI,1,normoxic,1,34.56,33.6,30.4,36.3,32.1,29.8,30.9,27.3,29.25,43.32,37.8,32.4,34.08,30.6,24.6,26.4,23.4,21.4,26.1,NA,26.7,27.2,28.5,31.2
