Bucket_num_and_HB_CH,Date,Site,Site_Bucket,BPM,TRMT,,,,,,,,,,,,,,,,,
0,9/2/16 15:19,FI,FI_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:29,FI,FI_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:39,FI,FI_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:49,FI,FI_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:59,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:09,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:19,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:29,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:39,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:49,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:59,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:09,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:19,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:29,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:39,FI,FI_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:49,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:59,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:09,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:19,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:29,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:39,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:49,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:59,FI,FI_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 19:09,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 19:19,FI,FI_0,45.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 19:29,FI,FI_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 19:39,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 19:49,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 19:59,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:09,FI,FI_0,42,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:19,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:29,FI,FI_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:39,FI,FI_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:49,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:59,FI,FI_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:09,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:19,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:29,FI,FI_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:39,FI,FI_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:49,FI,FI_0,42,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:59,FI,FI_0,42,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:09,FI,FI_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:19,FI,FI_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:29,FI,FI_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:39,FI,FI_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:49,FI,FI_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:59,FI,FI_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 23:09,FI,FI_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 23:19,FI,FI_0,41.4,H,,,,,,,,,,,,,,,,,
