site,mesocosm,site_trmt,trmt,mean_HB
FI,1,FI_N,Norm,27.6
FI,3,FI_N,Norm,21.4
FI,5,FI_N,Norm,38.4
FI,7,FI_N,Norm,29
MB,1,MBC_N,Norm,23.5
MB,3,MBC_N,Norm,24.9
MB,5,MBC_N,Norm,NA
MB,7,MBC_N,Norm,34.63
NB,1,NB_N,Norm,27.8
NB,3,NB_N,Norm,25.3
NB,5,NB_N,Norm,37.5
NB,7,NB_N,Norm,27.5
Q,1,Q_N,Norm,25.8
Q,3,Q_N,Norm,31
Q,5,Q_N,Norm,24.8
Q,7,Q_N,Norm,22.9
X,1,X_N,Norm,27.3
X,3,X_N,Norm,20.4
X,5,X_N,Norm,27.5
X,7,X_N,Norm,33
FI,6,FI_H,HYP_post,39.3
FI,4,FI_H,HYP_post,NA
FI,2,FI_H,HYP_post,37.03
FI,0,FI_H,HYP_post,24.3
MB,6,MBC_H,HYP_post,38.8
MB,4,MBC_H,HYP_post,32.7
MB,2,MBC_H,HYP_post,NA
MB,0,MBC_H,HYP_post,39.3
NB,6,NB_H,HYP_post,43.4
NB,4,NB_H,HYP_post,38.5
NB,2,NB_H,HYP_post,41
NB,0,NB_H,HYP_post,36
Q,6,Q_H,HYP_post,NA
Q,4,Q_H,HYP_post,41.9
Q,2,Q_H,HYP_post,47
Q,0,Q_H,HYP_post,NA
X,6,X_H,HYP_post,32.4
X,4,X_H,HYP_post,33.1
X,2,X_H,HYP_post,37
X,0,X_H,HYP_post,31.9
