TIME,TIME_NUM_FORMAT,SITE,TEMP,DO
7/14/2016 0:00,42565,B,26.18,7.65
7/14/2016 0:10,42565.01,B,26.18,7.7
7/14/2016 0:20,42565.01,B,26.16,7.81
7/14/2016 0:30,42565.02,B,26.16,7.82
7/14/2016 0:40,42565.03,B,26.16,7.73
7/14/2016 0:50,42565.03,B,26.14,8.06
7/14/2016 1:00,42565.04,B,26.08,7.57
7/14/2016 1:10,42565.05,B,26.04,7.61
7/14/2016 1:20,42565.06,B,26,7.68
7/14/2016 1:30,42565.06,B,25.98,7.9
7/14/2016 1:40,42565.07,B,25.98,7.72
7/14/2016 1:50,42565.08,B,25.92,7.45
7/14/2016 2:00,42565.08,B,25.86,7.35
7/14/2016 2:10,42565.09,B,25.8,7.57
7/14/2016 2:20,42565.1,B,25.72,6.86
7/14/2016 2:30,42565.1,B,25.66,7.42
7/14/2016 2:40,42565.11,B,25.64,6.63
7/14/2016 2:50,42565.12,B,25.62,6.71
7/14/2016 3:00,42565.13,B,25.64,7.06
7/14/2016 3:10,42565.13,B,25.62,6.57
7/14/2016 3:20,42565.14,B,25.6,6.35
7/14/2016 3:30,42565.15,B,25.62,6.44
7/14/2016 3:40,42565.15,B,25.62,6.18
7/14/2016 3:50,42565.16,B,25.64,6.52
7/14/2016 4:00,42565.17,B,25.64,6.66
7/14/2016 4:10,42565.17,B,25.58,6.15
7/14/2016 4:20,42565.18,B,25.6,6.13
7/14/2016 4:30,42565.19,B,25.62,5.92
7/14/2016 4:40,42565.19,B,25.6,5.65
7/14/2016 4:50,42565.2,B,25.62,5.98
7/14/2016 5:00,42565.21,B,25.58,5.84
7/14/2016 5:10,42565.22,B,25.58,6.05
7/14/2016 5:20,42565.22,B,25.54,6.21
7/14/2016 5:30,42565.23,B,25.5,5.97
7/14/2016 5:40,42565.24,B,25.52,5.93
7/14/2016 5:50,42565.24,B,25.54,5.68
7/14/2016 6:00,42565.25,B,25.5,5.83
7/14/2016 6:10,42565.26,B,25.52,5.42
7/14/2016 6:20,42565.26,B,25.5,5.6
7/14/2016 6:30,42565.27,B,25.5,5.67
7/14/2016 6:40,42565.28,B,25.48,5.72
7/14/2016 6:50,42565.28,B,25.48,5.72
7/14/2016 7:00,42565.29,B,25.5,5.61
7/14/2016 7:10,42565.3,B,25.5,5.82
7/14/2016 7:20,42565.31,B,25.52,5.91
7/14/2016 7:30,42565.31,B,25.52,5.82
7/14/2016 7:40,42565.32,B,25.5,5.78
7/14/2016 7:50,42565.33,B,25.48,5.58
7/14/2016 8:00,42565.33,B,25.48,5.48
7/14/2016 8:10,42565.34,B,25.44,5.39
7/14/2016 8:20,42565.35,B,25.44,5.42
7/14/2016 8:30,42565.35,B,25.42,5.48
7/14/2016 8:40,42565.36,B,25.42,5.45
7/14/2016 8:50,42565.37,B,25.4,5.15
7/14/2016 9:00,42565.38,B,25.38,5.09
7/14/2016 9:10,42565.38,B,25.42,5.11
7/14/2016 9:20,42565.39,B,25.42,4.99
7/14/2016 9:30,42565.4,B,25.42,5.08
7/14/2016 9:40,42565.4,B,25.4,5
7/14/2016 9:50,42565.41,B,25.38,4.75
7/14/2016 10:00,42565.42,B,25.34,4.72
7/14/2016 10:10,42565.42,B,25.3,4.77
7/14/2016 10:20,42565.43,B,25.26,4.46
7/14/2016 10:30,42565.44,B,25.18,4.7
7/14/2016 10:40,42565.44,B,25.14,4.56
7/14/2016 10:50,42565.45,B,25.12,4.48
7/14/2016 11:00,42565.46,B,25.14,4.23
7/14/2016 11:10,42565.47,B,25.16,4.43
7/14/2016 11:20,42565.47,B,25.12,4.56
7/14/2016 11:30,42565.48,B,25.16,4.36
7/14/2016 11:40,42565.49,B,25.12,4.45
7/14/2016 11:50,42565.49,B,25.12,4.62
7/14/2016 12:00,42565.5,B,25.1,4.49
7/14/2016 12:10,42565.51,B,25.1,4.56
7/14/2016 12:20,42565.51,B,25.1,4.69
7/14/2016 12:30,42565.52,B,25.08,4.48
7/14/2016 12:40,42565.53,B,25.08,5.04
7/14/2016 12:50,42565.53,B,25.08,4.93
7/14/2016 13:00,42565.54,B,25.08,4.87
7/14/2016 13:10,42565.55,B,25.08,4.87
7/14/2016 13:20,42565.56,B,25.08,4.88
7/14/2016 13:30,42565.56,B,25.06,4.88
7/14/2016 13:40,42565.57,B,25.04,4.65
7/14/2016 13:50,42565.58,B,25.04,4.92
7/14/2016 14:00,42565.58,B,25.06,5.03
7/14/2016 14:10,42565.59,B,25.04,4.87
