type,durationMinutes,,,startTime,endTime,startNum,endNum,eventDO,
<1.0,99.9936,1.66656,,7/15/2016 0:00,7/15/2016 1:40,42566,42566.06944,0.952727273,
<1.0,690.0048,11.50008,,7/15/2016 3:00,7/15/2016 14:30,42566.125,42566.60417,0.409,
<1.0,190.008,3.1668,,7/18/2016 8:20,7/18/2016 11:30,42569.34722,42569.47917,0.922,
<1.0,90,1.5,,7/19/2016 8:10,7/19/2016 9:40,42570.34028,42570.40278,1.261,
<1.0,90,1.5,,7/20/2016 9:20,7/20/2016 10:50,42571.38889,42571.45139,1.213,
<1.0,530.0064,8.83344,,8/4/2016 2:40,8/4/2016 11:30,42586.11111,42586.47917,0.94462963,
<1.0,69.99840001,1.16664,,8/7/2016 9:40,8/7/2016 10:50,42589.40278,42589.45139,1.09,
<1.0,390.0096,6.50016,,8/8/2016 6:10,8/8/2016 12:40,42590.25694,42590.52778,0.69475,
<1.0,350.0064,5.83344,,8/11/2016 4:10,8/11/2016 10:00,42593.17361,42593.41667,0.661111111,
<1.0,400.0032,6.66672,,8/12/2016 5:40,8/12/2016 12:20,42594.23611,42594.51389,0.361219512,
<1.0,760.0032,12.66672,,8/13/2016 0:40,8/13/2016 13:20,42595.02778,42595.55556,0.521298701,
<1.0,879.9984,14.66664,,8/13/2016 21:20,8/14/2016 12:00,42595.88889,42596.5,0.605842697,
<1.0,630,10.5,,8/15/2016 1:10,8/15/2016 11:40,42597.04861,42597.48611,1.0346875,
<1.0,60.0048,1.00008,,8/15/2016 13:30,8/15/2016 14:30,42597.5625,42597.60417,1.124285714,
<1.0,109.9872,1.83312,5.63544,8/19/2016 8:50,8/19/2016 10:40,42601.36806,42601.44444,0.783333333,0.854461592
<1.0,69.9984,1.16664,4.712193911,8/20/2016 10:30,8/20/2016 11:40,42602.4375,42602.48611,1.0925,0.284731717
<2.0,990,16.5,,7/14/2016 22:00,7/15/2016 14:30,42565.91667,42566.60417,0.8284,
<2.0,90,1.5,,7/16/2016 8:50,7/16/2016 10:20,42567.36806,42567.43056,2.662,
<2.0,80.0064,1.33344,,7/17/2016 10:40,7/17/2016 12:00,42568.44444,42568.5,2.268888889,
<2.0,379.9872,6.33312,,7/18/2016 7:20,7/18/2016 13:40,42569.30556,42569.56944,1.369487179,
<2.0,230.0112,3.83352,,7/19/2016 6:30,7/19/2016 10:20,42570.27083,42570.43056,1.669583333,
<2.0,240.0048,4.00008,,7/20/2016 6:50,7/20/2016 10:50,42571.28472,42571.45139,2.0388,
<2.0,130.0032,2.16672,,7/21/2016 9:20,7/21/2016 11:30,42572.38889,42572.47917,1.68,
<2.0,100.008,1.6668,,7/21/2016 12:50,7/21/2016 14:30,42572.53472,42572.60417,2.760909091,
<2.0,69.9984,1.16664,,7/24/2016 10:30,7/24/2016 11:40,42575.4375,42575.48611,2.2625,
