type,durationMinutes,,,startTime,endTime,startNum,endNum,eventDO,
<1.0,230.0112,3.83352,,7/15/2016 9:10,7/15/2016 13:00,42566.38194,42566.54167,1.0225,
<1.0,79.992,1.3332,,7/16/2016 12:20,7/16/2016 13:40,42567.51389,42567.56944,0.888888889,
<1.0,330.0048,5.50008,,7/17/2016 8:00,7/17/2016 13:30,42568.33333,42568.5625,0.405588235,
<1.0,350.0064,5.83344,,7/30/2016 5:40,7/30/2016 11:30,42581.23611,42581.47917,0.539722222,
<1.0,190.008,3.1668,,8/1/2016 5:00,8/1/2016 8:10,42583.20833,42583.34028,0.5725,
<1.0,110.0016,1.83336,,8/1/2016 9:40,8/1/2016 11:30,42583.40278,42583.47917,0.535,
<1.0,79.99200001,1.3332,,8/1/2016 13:00,8/1/2016 14:20,42583.54167,42583.59722,0.468888889,
<1.0,170.0064,2.83344,,8/7/2016 8:20,8/7/2016 11:10,42589.34722,42589.46528,1.036111111,
<1.0,540,9,,8/8/2016 5:10,8/8/2016 14:10,42590.21528,42590.59028,0.905454545,
<1.0,69.9984,1.16664,3.393970909,8/13/2016 11:00,8/13/2016 12:10,42595.45833,42595.50694,0.465,0.779423081
<1.0,90,1.5,2.486975286,8/15/2016 8:10,8/15/2016 9:40,42597.34028,42597.40278,1.734,0.394857072
<2.0,360,6,,7/15/2016 9:00,7/15/2016 15:00,42566.375,42566.625,1.215405405,
<2.0,229.9968,3.83328,,7/16/2016 10:00,7/16/2016 13:50,42567.41667,42567.57639,1.1275,
<2.0,579.9888,9.66648,,7/17/2016 5:30,7/17/2016 15:10,42568.22917,42568.63194,0.810338983,
<2.0,159.9984,2.66664,,7/24/2016 10:30,7/24/2016 13:10,42575.4375,42575.54861,2.171176471,
<2.0,280.008,4.6668,,7/25/2016 6:50,7/25/2016 11:30,42576.28472,42576.47917,1.466206897,
<2.0,100.008,1.6668,,7/29/2016 8:20,7/29/2016 10:00,42580.34722,42580.41667,1.935454545,
<2.0,60.0048,1.00008,,7/29/2016 14:00,7/29/2016 15:00,42580.58333,42580.625,2.165714286,
<2.0,479.9952,7.99992,,7/30/2016 4:00,7/30/2016 12:00,42581.16667,42581.5,0.860204082,
<2.0,630,10.5,,8/1/2016 4:00,8/1/2016 14:30,42583.16667,42583.60417,0.8828125,
<2.0,339.9984,5.66664,,8/7/2016 8:00,8/7/2016 13:40,42589.33333,42589.56944,1.330857143,
<2.0,699.9984,11.66664,,8/8/2016 2:30,8/8/2016 14:10,42590.10417,42590.59028,1.046901408,
<2.0,169.992,2.8332,,8/12/2016 8:10,8/12/2016 11:00,42594.34028,42594.45833,1.251111111,
<2.0,260.0064,4.33344,,8/13/2016 8:40,8/13/2016 13:00,42595.36111,42595.54167,1.626296296,
<2.0,270,4.5,5.366672,8/14/2016 7:40,8/14/2016 12:10,42596.31944,42596.50694,1.591071429,1.417736704
<2.0,210.0096,3.50016,3.235545676,8/15/2016 6:30,8/15/2016 10:00,42597.27083,42597.41667,1.785,0.452759177
<3.0,530.0064,8.83344,,7/14/2016 7:30,7/14/2016 16:20,42565.3125,42565.68056,2.721296296,
<3.0,510.0048,8.50008,,7/15/2016 6:50,7/15/2016 15:20,42566.28472,42566.63889,1.685192308,
<3.0,130.0032,2.16672,,7/16/2016 2:40,7/16/2016 4:50,42567.11111,42567.20139,2.16,
<3.0,470.0016,7.83336,,7/16/2016 6:10,7/16/2016 14:00,42567.25694,42567.58333,1.80875,
<3.0,779.9904,12.99984,,7/17/2016 2:50,7/17/2016 15:50,42568.11806,42568.65972,1.217974684,
<3.0,90,1.5,,7/17/2016 23:10,7/18/2016 0:40,42568.96528,42569.02778,2.579,
<3.0,190.008,3.1668,,7/18/2016 2:00,7/18/2016 5:10,42569.08333,42569.21528,2.4175,
<3.0,220.0032,3.66672,,7/18/2016 6:40,7/18/2016 10:20,42569.27778,42569.43056,2.413913043,
<3.0,69.9984,1.16664,,7/19/2016 10:20,7/19/2016 11:30,42570.43056,42570.47917,2.42,
<3.0,270,4.5,,7/24/2016 8:50,7/24/2016 13:20,42575.36806,42575.55556,2.439285714,
<3.0,479.9952,7.99992,,7/25/2016 5:10,7/25/2016 13:10,42576.21528,42576.54861,2.060612245,
<3.0,79.992,1.3332,,7/26/2016 12:20,7/26/2016 13:40,42577.51389,42577.56944,2.875555556,
<3.0,169.992,2.8332,,7/27/2016 5:50,7/27/2016 8:40,42578.24306,42578.36111,2.446666667,
<3.0,450,7.5,,7/29/2016 8:00,7/29/2016 15:30,42580.33333,42580.64583,2.327173913,
<3.0,810,13.5,,7/30/2016 1:50,7/30/2016 15:20,42581.07639,42581.63889,1.585853659,
<3.0,80.0064,1.33344,,7/31/2016 9:00,7/31/2016 10:20,42582.375,42582.43056,2.843333333,
<3.0,740.0016,12.33336,,8/1/2016 2:20,8/1/2016 14:40,42583.09722,42583.61111,1.130933333,
<3.0,209.9952,3.49992,,8/2/2016 10:50,8/2/2016 14:20,42584.45139,42584.59722,2.609090909,
<3.0,60.0048,1.00008,,8/3/2016 10:30,8/3/2016 11:30,42585.4375,42585.47917,2.794285714,
<3.0,130.0032,2.16672,,8/5/2016 9:40,8/5/2016 11:50,42587.40278,42587.49306,3.009285714,
<3.0,180,3,,8/6/2016 8:30,8/6/2016 11:30,42588.35417,42588.47917,2.575789474,
<3.0,469.9872,7.83312,,8/7/2016 5:50,8/7/2016 13:40,42589.24306,42589.56944,1.668333333,
<3.0,720,12,,8/8/2016 2:30,8/8/2016 14:30,42590.10417,42590.60417,1.096986301,
<3.0,99.99360001,1.66656,,8/11/2016 9:40,8/11/2016 11:20,42593.40278,42593.47222,3.023636364,
<3.0,270,4.5,,8/12/2016 7:10,8/12/2016 11:40,42594.29861,42594.48611,1.697857143,
