type,durationMinutes,,,startTime,endTime,startNum,endNum,eventDO,
<1.0,209.9952,3.49992,,7/17/2016 8:40,7/17/2016 12:10,42568.36111,42568.50694,1.44,
<1.0,200.0016,3.33336,,7/18/2016 8:20,7/18/2016 11:40,42569.34722,42569.48611,0.472857143,
<1.0,60.0048,1.00008,,7/20/2016 10:30,7/20/2016 11:30,42571.4375,42571.47917,1.197142857,
<1.0,90,1.5,,7/21/2016 6:20,7/21/2016 7:50,42572.26389,42572.32639,0.742,
<1.0,370.008,6.1668,,7/21/2016 9:10,7/21/2016 15:20,42572.38194,42572.63889,0.573684211,
<1.0,149.9904,2.49984,,7/22/2016 7:20,7/22/2016 9:50,42573.30556,42573.40972,0.939375,
<1.0,290.0016,4.83336,,7/23/2016 6:00,7/23/2016 10:50,42574.25,42574.45139,0.303333333,
<1.0,79.992,1.3332,,7/29/2016 16:20,7/29/2016 17:40,42580.68056,42580.73611,1.661111111,
<1.0,260.0064,4.33344,3.15,7/31/2016 7:40,7/31/2016 12:00,42582.31944,42582.5,1.134444444,0.891763231
<1.0,180,3,1.652674752,8/15/2016 10:20,8/15/2016 13:20,42597.43056,42597.55556,0.453684211,0.457544904
<2.0,329.9904,5.49984,,7/17/2016 7:00,7/17/2016 12:30,42568.29167,42568.52083,1.884411765,
<2.0,349.992,5.8332,,7/18/2016 6:20,7/18/2016 12:10,42569.26389,42569.50694,1.012777778,
<2.0,230.0112,3.83352,,7/20/2016 7:40,7/20/2016 11:30,42571.31944,42571.47917,2.045416667,
<2.0,59.9904,0.99984,,7/20/2016 14:30,7/20/2016 15:30,42571.60417,42571.64583,1.837142857,
<2.0,769.9968,12.83328,,7/21/2016 4:20,7/21/2016 17:10,42572.18056,42572.71528,1.035512821,
<2.0,360,6,,7/22/2016 6:20,7/22/2016 12:20,42573.26389,42573.51389,1.435675676,
<2.0,519.9984,8.66664,,7/23/2016 2:40,7/23/2016 11:20,42574.11111,42574.47222,0.879056604,
<2.0,90,1.5,,7/25/2016 4:20,7/25/2016 5:50,42576.18056,42576.24306,1.797,
<2.0,60.0048,1.00008,,7/29/2016 6:10,7/29/2016 7:10,42580.25694,42580.29861,1.878571429,
<2.0,139.9968,2.33328,,7/29/2016 8:30,7/29/2016 10:50,42580.35417,42580.45139,1.433333333,
<2.0,160.0128,2.66688,,7/29/2016 12:10,7/29/2016 14:50,42580.50694,42580.61806,1.684117647,
<2.0,330.0048,5.50008,,7/29/2016 16:10,7/29/2016 21:40,42580.67361,42580.90278,2.787647059,
<2.0,400.0032,6.66672,,7/31/2016 6:30,7/31/2016 13:10,42582.27083,42582.54861,1.39195122,
<2.0,80.0064,1.33344,,8/1/2016 9:00,8/1/2016 10:20,42583.375,42583.43056,2.153333333,
<2.0,310.0032,5.16672,,8/15/2016 8:20,8/15/2016 13:30,42597.34722,42597.5625,0.783125,
<2.0,59.9904,0.99984,,8/16/2016 8:10,8/16/2016 9:10,42598.34028,42598.38194,2.155714286,
<2.0,100.008,1.6668,4.083346667,8/16/2016 11:40,8/16/2016 13:20,42598.48611,42598.55556,2.093636364,1.691579102
<2.0,60.0048,1.00008,3.24853399,8/28/2016 10:50,8/28/2016 11:50,42610.45139,42610.49306,2.16,0.533545929
<3.0,119.9952,1.99992,,7/14/2016 10:30,7/14/2016 12:30,42565.4375,42565.52083,2.846153846,
<3.0,389.9952,6.49992,,7/16/2016 6:40,7/16/2016 13:10,42567.27778,42567.54861,3.09175,
<3.0,350.0064,5.83344,,7/17/2016 6:50,7/17/2016 12:40,42568.28472,42568.52778,1.9325,
<3.0,59.9904,0.99984,,7/17/2016 23:30,7/18/2016 0:30,42568.97917,42569.02083,2.634285714,
