type,durationMinutes,,,startTime,endTime,startNum,endNum,eventDO,
<1.0,109.9872,1.83312,,8/27/2016 10:20,8/27/2016 12:10,42609.43056,42609.50694,0.8125,
<2.0,180,3,,8/27/2016 9:10,8/27/2016 12:10,42609.38194,42609.50694,1.338947368,
<3.0,59.9904,0.99984,,8/11/2016 10:20,8/11/2016 11:20,42593.43056,42593.47222,2.222857143,
<3.0,69.99840001,1.16664,,8/14/2016 11:10,8/14/2016 12:20,42596.46528,42596.51389,2.915,
<3.0,239.9904,3.99984,1.7916,8/27/2016 8:10,8/27/2016 12:10,42609.34028,42609.50694,2.0004,2.728492857
<3.0,60.0048,1.00008,1.474255372,8/27/2016 19:40,8/27/2016 20:40,42609.81944,42609.86111,3.775714286,0.799425694
<3.5,79.992,1.3332,,8/11/2016 10:20,8/11/2016 11:40,42593.43056,42593.48611,2.54,
<3.5,59.9904,0.99984,,8/13/2016 10:20,8/13/2016 11:20,42595.43056,42595.47222,3.034285714,
<3.5,110.0016,1.83336,,8/14/2016 10:40,8/14/2016 12:30,42596.44444,42596.52083,3.1025,
<3.5,59.9904,0.99984,,8/18/2016 12:40,8/18/2016 13:40,42600.52778,42600.56944,3.844285714,
<3.5,329.9904,5.49984,1.94436,8/27/2016 8:10,8/27/2016 13:40,42609.34028,42609.56944,2.804705882,3.183581933
<3.5,60.0048,1.00008,1.772183758,8/27/2016 19:40,8/27/2016 20:40,42609.81944,42609.86111,3.775714286,0.524167648
<4.8,99.9936,1.66656,,7/15/2016 10:00,7/15/2016 11:40,42566.41667,42566.48611,4.682727273,
<4.8,270,4.5,,7/16/2016 8:00,7/16/2016 12:30,42567.33333,42567.52083,4.375714286,
<4.8,130.0032,2.16672,,7/18/2016 9:40,7/18/2016 11:50,42569.40278,42569.49306,4.658571429,
<4.8,110.0016,1.83336,,7/19/2016 9:20,7/19/2016 11:10,42570.38889,42570.46528,4.6175,
<4.8,110.0016,1.83336,,7/30/2016 9:00,7/30/2016 10:50,42581.375,42581.45139,4.866666667,
<4.8,180,3,,7/31/2016 10:50,7/31/2016 13:50,42582.45139,42582.57639,4.46,
<4.8,59.9904,0.99984,,8/1/2016 10:00,8/1/2016 11:00,42583.41667,42583.45833,4.815714286,
<4.8,189.9936,3.16656,,8/11/2016 8:50,8/11/2016 12:00,42593.36806,42593.5,3.331,
<4.8,129.9888,2.16648,,8/12/2016 10:20,8/12/2016 12:30,42594.43056,42594.52083,4.028571429,
<4.8,319.9968,5.33328,,8/13/2016 8:20,8/13/2016 13:40,42595.34722,42595.56944,4.156060606,
<4.8,400.0032,6.66672,,8/14/2016 7:30,8/14/2016 14:10,42596.3125,42596.59028,4.020731707,
<4.8,290.0016,4.83336,,8/15/2016 8:20,8/15/2016 13:10,42597.34722,42597.54861,4.614,
<4.8,209.9952,3.49992,,8/18/2016 10:30,8/18/2016 14:00,42600.4375,42600.58333,3.999090909,
<4.8,60.0048,1.00008,,8/18/2016 15:30,8/18/2016 16:30,42600.64583,42600.6875,4.462857143,
<4.8,69.9984,1.16664,,8/19/2016 10:20,8/19/2016 11:30,42601.43056,42601.47917,4.38,
<4.8,90,1.5,,8/20/2016 16:00,8/20/2016 17:30,42602.66667,42602.72917,4.442,
<4.8,360,6,,8/23/2016 8:40,8/23/2016 14:40,42605.36111,42605.61111,4.727567568,
<4.8,249.9984,4.16664,,8/24/2016 14:30,8/24/2016 18:40,42606.60417,42606.77778,4.931923077,
<4.8,90,1.5,,8/25/2016 9:30,8/25/2016 11:00,42607.39583,42607.45833,4.29,
<4.8,99.9936,1.66656,,8/26/2016 10:30,8/26/2016 12:10,42608.4375,42608.50694,4.707272727,
<4.8,60.0048,1.00008,,8/26/2016 20:20,8/26/2016 21:20,42608.84722,42608.88889,5.097142857,
<4.8,339.9984,5.66664,3.036208696,8/27/2016 8:00,8/27/2016 13:40,42609.33333,42609.56944,2.83,4.387396172
<4.8,270,4.5,1.809046808,8/27/2016 19:40,8/28/2016 0:10,42609.81944,42610.00694,4.415,0.510340124
