SiteNAME,Site,Hyp_Threshold,COUNT,DURATION_hours,MAG_av_DO,count*av_duration/av_magnitude
Bellport,B,1,0,NA,NA,NA
FireIsland,F,1,0,NA,NA,NA
Moneybogue,M,1,16,5.64,0.85,105.52
NicollBay,N,1,11,3.39,0.78,47.81
PennimanCreek,P,1,0,NA,NA,NA
QuantuckBay,Q,1,10,3.15,0.89,35.39
Seatuck,S,1,8,3.42,0.55,49.75
TianaBeach,T,1,1,4.17,0.73,5.71
SagHarbor,X,1,1,1.83,0.81,2.26
Bellport,B,2,1,2,1.52,1.31
FireIsland,F,2,0,NA,NA,NA
Moneybogue,M,2,25,6.33,1.69,93.7
NicollBay,N,2,15,5.37,1.42,56.73
PennimanCreek,P,2,1,3.33,1.79,1.86
QuantuckBay,Q,2,18,4.08,1.69,43.46
Seatuck,S,2,18,4.33,1.48,52.66
TianaBeach,T,2,5,2.5,1.68,7.44
SagHarbor,X,2,1,3,1.34,2.24
Bellport,B,3,5,3.3,2.72,6.06
FireIsland,F,3,0,NA,NA,NA
Moneybogue,M,3,39,6.21,2.26,107.14
NicollBay,N,3,30,5.34,2.23,71.84
PennimanCreek,P,3,7,2.5,2.77,6.32
QuantuckBay,Q,3,35,5.25,2.45,75
Seatuck,S,3,34,5.03,2.31,74.03
TianaBeach,T,3,12,3.5,2.58,16.28
SagHarbor,X,3,4,1.79,2.73,2.62
Bellport,B,3.5,12,3.56,3.19,13.39
FireIsland,F,3.5,0,NA,NA,NA
Moneybogue,M,3.5,43,7.56,2.63,123.8
NicollBay,N,3.5,34,6.39,2.63,82.61
PennimanCreek,P,3.5,24,2.5,3.22,18.63
QuantuckBay,Q,3.5,38,6.27,2.78,85.71
Seatuck,S,3.5,39,6.06,2.64,89.52
TianaBeach,T,3.5,21,3.26,3.04,22.52
SagHarbor,X,3.5,6,1.94,3.18,3.66
Bellport,B,4.8,47,4.78,4.38,51.34
FireIsland,F,4.8,31,3.18,4.67,21.11
Moneybogue,M,4.8,53,9.01,3.51,136.06
NicollBay,N,4.8,47,8.37,3.65,107.78
PennimanCreek,P,4.8,38,5.63,4.18,51.18
QuantuckBay,Q,4.8,52,8.2,3.76,113.4
Seatuck,S,4.8,47,8.28,3.49,111.51
TianaBeach,T,4.8,48,5.78,4.18,66.37
SagHarbor,X,4.8,23,3.04,4.39,15.93
